Account,Token Account,Quantity,Percentage
8HexSDZhn15Ui8mjp8apzHuSxiuxz1uoupaKoCwqj1Dn,H4TpS6S6XTFwwaMgnFtnd9oojfihC2kRHD1AGQ9BGm3D,1327809.49,0.13
DeN2UAqvTLc8Vb7N22Yh9pGTtcQpPVyKrg63GdgnsSuz,4GF5wxS8DD7raL9hQMYcK7bGDFi24HL8ixrYsrx8XozG,1324850.98,0.13
2yKxAG83hyPspwidaYPBJgJFaK7ayZpbSWRDtuYsxV1R,Atk7U8PBFwiktKVuzEyNsqF3rdp21nSQDxp4FdSJ9jKj,1294687.53,0.13
HE1FFYoCEZH7paDriBdFKp9dX75BHaPxMRpFBLuLwbqA,D1hymuqjVT5ahvY5E8pphazJogPzsHGEXRykXASHTbxL,1287711.87,0.13
8npwFwvPZzbChSz3pHGRQgXkDijNzBptUWWUSCXLvo6y,DFq5PPxMKa1qBQFWSUtYqVQ1TGqaD73SoAf4ga7qy2qB,1280000.00,0.13
8cioz74joWoroJVUD51YW26RRydQhS2sqNKcMzcjJqnM,9bYGPV2UYjqwsF8spSKazrRnahy21XxMePvT2y6m8w5e,1273440.14,0.13
GXRw4h2aomLq1nQ7CQqHtaniptDaWCP9Go6jfVATRJaS,2GUru6BqcWyPytVYbLWZPUKC1kjwBBYesRavHv9YiN6t,1252730.10,0.13
2R9pVfmBDUwREep3MjRAwVJ5NFq4A6ieDtabEfY8KTHY,73fxGsHXyzHkt2PSooSsND258RHU9GypT7tg8ETAiLjW,1239016.89,0.12
CKzKfZd1msksFDZAdHdmzdJRXuxMvC5swySsrxPo9eUM,2MSnAbmhmsVBWeL82aF8HSa4ZVXuKs77nxn7LqpcAcRM,1213291.07,0.12
BJXuM41LEAJFVcuoe3eKicWS6K75vtdQ9TAEzAeH1Syp,8RZNtrQu6QMD1k4wZhfuxkQAyABUDLuAua5aBbyj4LLa,1188002.43,0.12
BPQ4LWA3nGKnzPKWf2GgfpHfh9LG5KtmrCRoa38kBA6h,3CZ9KFRFo6BSLoE5PHD9jVLrM8NC2aGo3ttq4pXmAR5e,1180422.21,0.12
F99gCPXiGCxo72MzvTqDJkGuqR1Z1JbasbHLPPAxykoG,AZbF5i8CQQyX9rE4i2VeWpXXke4KZSA9LpUtaAsqzN3g,1176252.66,0.12
AwgVoyFwAwB8vH4KnsRCGdfuaCoVHmmrT7okuLJv38dT,6pyXVUPBiyj4y9cn6n1BV6bNttwPHoEjFPKJDQjTWwSK,1172388.83,0.12
5qmYMjgnVFEC9A2niidkkfTs1DkXuHn42m8X8Z5mpMrT,3Y5UnAdgnbiTmcvrxApB5CMPZDDAHTA5AXpwSC42DfV6,1165793.00,0.12
FTjsSo9TbnzroUgiHTbhp6c8yMjPUeJ4a9DEGNTAy7D9,Hornv95VozWQPKDB4QESaFTkp1RHYK1caCeLVZfXNnQx,1117006.59,0.11
DnvAAzEYTvCBRdXfZS52Cjm5Bg6gySgyHL6UYpkJPaw5,4dfCLQ9SWP4fuMndfMNi7Ng1r8ErY6XGu3qfY4UiHjLe,1098499.55,0.11
AiKcjrQVjZq1TDCpQEC3QBhBNQLaTirCqmSWYMUqJfpd,Fv2jCKYqXGGJG7vu75JiSwsz2NVekUnMve2EQW4ejtkv,1074749.13,0.11
2oRpdpxMMDdCqu5L4or9wDAooqK4pVEEdsKEH1pd8mvq,5nmP9DA52AsaX2upEKXx3gjUML6Nxue1PkWo7eMCX7fM,1056492.13,0.11
AmAKKxnigt8Zm1JNCRiM1eEcmHncz6QRhZYGjW9BvXMU,j1cFWadHecyCyE43HrqnaQLKSJPC2zuCYrqK3fxaLH6,1043533.79,0.10
6yXXj8EfxFZTM57TXfoSXLfrRST7dc2xcji98ewhaTGM,CD5TUw9XLU9ZXMqY7gJSh9J9LY57koDhC72MitTJWPzc,1009260.28,0.10
9SX4M5MtcTgeCokXgCNc1wWp9cbGaNCR71GahBXDuLtp,CvF4knvUyw4jDQ9fVuek2zN7QWp8hvbnt62ehJtnCjG8,1003551.46,0.10
9enKSJxY7SDj9ApNj5GEtXTQD8B84K6ZFRfbMUDJnNcs,2U7juLCScXgozUj79AXq9XMfDyuSRAcXMcYnW59Z2Xvj,1000266.12,0.10
6fiPz5LDuiaz2uC5fhcKMSbFJGFu1LRaqfXJ63mqFtBk,ESxdKQJ1eacWBeYCw69wXumdRbwGpc6fD6vZqvcGsxJw,1000000.00,0.10
8uoFBuMxDm2E4GRXjAUpu2RJX5qsnpEMuDBh3yW9Ripf,3FcagTwyeiFbLKCPiDHGxjJwTjvbe8YE6XVMrVxmaBYi,976531.13,0.10
EvqF1FqZ7bEBFeWdkVEvD5P6awg5kduJ4NTJmMJBdENL,6oXCt81f25hGy2QgkEeL7rNUiUgLWuwmdEBjFwCGGkh7,952359.16,0.10
Dpw9ARfN5ujYPzVoKRV2vhAWok9cCYEcgsEVkci5PShZ,5Tm6zP3EuUTHY5TqpLb9SurKihJwPD5EaCkdGyqngAs6,857442.28,0.09
9FRbPYF7tgHmyb5SnPSuxAgqLEXvsDwJFZZ7QLhDYtKV,5uRBfevggUGakq91v6UPBNdhK3dGQxXFRUPHNoiMuaTQ,850958.04,0.09
3qK32HLqx3k7gt5xMe3wb1TP3MFzHWyCf4xYRKg5WkF7,CYGGHRxPEfkbSWwQAtu8M9HfJqLhV737S6vzZgyuF9Cz,803831.10,0.08
D85VnjgoN8hup6JJ1He745WvDzkEvHHWwkVVKB1rawUT,HvL4CJ5f61op6kY2FL29xyabAaW3avr8hZUovYAAYNXE,802359.45,0.08
9EeaWJaYYn5GQp4k6gw6vUEqJi9EqxsJppZdznv9vPWV,EHzbcHnrhhjho1wdRZEHNwDWaHRPx8tHmB2PqtWqz3eu,800000.00,0.08
A1RmAUcP3161fV4KWvTBk7vajw3TyhEmsL7aXRXwdu1t,4HAsD2XsQuQK2pUR9ng22MgGYNESsUY5iJaK4yjiZxEU,794997.13,0.08
GiNguVfp5eA9dhSBoQPVRSrZ5LGPzRz26YrzFc7Q5MWd,8iHsUjES3YVmg5kimoABNBH9aZNdFkDR8w8icpxwseB6,790765.11,0.08
H19UzKopT74snJwo78J839X6v4zro9HMPcQHXRoGSmPK,ETKpFkdgoQnH65FMdwxweDqAY6oe1YcpAX61u7QMQKuK,772480.41,0.08
