Account,Token Account,Quantity,AIRDROP
Ga55aQZCrHfaJUWnBaVxWxSLEYpfdXPrzpmujpqr3VZA,BkWhkunf9R65zc6GxEeqTnCmki4DcFkdxvgducYT2GRr,801102.55,8011025.5
9EeaWJaYYn5GQp4k6gw6vUEqJi9EqxsJppZdznv9vPWV,EHzbcHnrhhjho1wdRZEHNwDWaHRPx8tHmB2PqtWqz3eu,800000,8000000
GiNguVfp5eA9dhSBoQPVRSrZ5LGPzRz26YrzFc7Q5MWd,8iHsUjES3YVmg5kimoABNBH9aZNdFkDR8w8icpxwseB6,790765.11,7907651.1
H19UzKopT74snJwo78J839X6v4zro9HMPcQHXRoGSmPK,ETKpFkdgoQnH65FMdwxweDqAY6oe1YcpAX61u7QMQKuK,772480.41,7724804.1
EDBVFpdkC9gGTD6NDkfxynx2j2pYo3s9e2EZ8ho9mzS7,AQYgN2QVaGRNJwehi5LgcvUJMymGPsonjySZdMrGnQwD,768577.54,7685775.4
7o9Bh6J1jQiQqQKWqjCcKuUwZuU4dnHiL7sZSdGwxPtQ,BbiVfEBLWBJZBDQafRdgCajSzaLfGwtAjk6TEYhubDxg,765758.41,7657584.1
7KQrcajdGWrvk87DhSkRPvG2u6pmQrP1rBDhsCoFwtG2,66W6mMEvDoZXXddpvYaDbw79dm5hyZgi8YtaXf6Weqkp,751535.23,7515352.3
BvF71zxDfDKozwVQRDVGkWFp4i55qL7QSCiuv94b1rGX,EQKmzJv9P6Xh9sbFw68NVCSt7KcVhuKR7K4r4AxG16b1,742840.06,7428400.6
AKtujckiEVrCLTRkHgiVNn11MntGdnaUnhqsFAxZAepn,BspDgot8xc3nBetFBNevpvHS4tmrEawWXxgoJEG2Mn3J,734437.4,7344374
GvDe9sseZHjxm159FSU1uLsKrFa2P5GM9cHe9oSBZd4V,EzR92zJJeBRhHaFnctVZNxCXEd63TANcpm5dCeknafCu,702949.87,7029498.7
7JxmDEDYEi3mjwWJotQEZPmbnKET1znBTWceKrqawwLC,8SGGUqfrxsDTiEw65WAAjTe2nVhtsz4xruUHxEexC71m,702407.03,7024070.3
2NengaaGAdKBBqpcivWSvzRX8Lr4fdrgXmE6LvqRpKud,BwfaxaX4sQAr2csxpBptc1GbjX444pJpBYz5i7QMi18m,621844.77,6218447.7
79sJTHaAiw3SpFnmxV4dzLecyy3aZosmjNQZ97DWmrnS,Fp7b7bNe3NgDUsQvCjjCwVqfPkWBBaEjZE6UL9bZ8Pbf,615936.49,6159364.9
